Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,5.320000,5.320000,5.230000,5.230000,5.041608,17600
2018-11-15,5.190000,5.310000,5.150000,5.250000,5.060888,27900
2018-11-16,5.280000,5.350000,5.220000,5.310000,5.118727,46500
2018-11-19,5.300000,5.360000,5.200000,5.280000,5.089808,69200
2018-11-20,5.260000,5.260000,5.050000,5.140000,4.954850,53800
2018-11-21,5.170000,5.220000,5.050000,5.100000,4.916292,20200
2018-11-23,5.020000,5.020000,4.820000,5.000000,4.819894,68000
2018-11-26,5.000000,5.050000,4.830000,4.830000,4.656017,90900
2018-11-27,4.850000,4.900000,4.690000,4.730000,4.559619,102100
2018-11-28,4.720000,4.780000,4.710000,4.710000,4.540340,109400
2018-11-29,4.800000,4.850000,4.690000,4.750000,4.578898,86500
2018-11-30,4.750000,5.450000,4.750000,5.050000,4.868093,352900
2018-12-03,5.300000,5.450000,5.200000,5.440000,5.244044,89200
2018-12-04,5.350000,5.440000,5.200000,5.410000,5.215125,88700
2018-12-06,5.410000,5.410000,5.130000,5.410000,5.215125,82100
2018-12-07,5.440000,5.510000,5.260000,5.340000,5.147647,48800
2018-12-10,5.300000,5.300000,4.700000,4.900000,4.723496,116300
2018-12-11,4.950000,4.960000,3.610000,4.900000,4.723496,759100
2018-12-12,4.880000,4.990000,4.760000,4.820000,4.646378,89600
2018-12-13,4.820000,4.880000,4.460000,4.470000,4.308985,198100
2018-12-14,4.420000,4.730000,4.420000,4.500000,4.337904,105600
2018-12-17,4.500000,4.540000,4.260000,4.260000,4.106550,122500
2018-12-18,4.310000,4.390000,4.180000,4.180000,4.029431,64700
2018-12-19,4.180000,4.220000,4.020000,4.100000,3.952313,88000
2018-12-20,4.140000,4.170000,3.910000,3.950000,3.807716,57100
2018-12-21,3.950000,4.060000,3.850000,3.870000,3.730598,154100
2018-12-24,3.870000,3.920000,3.820000,3.850000,3.711318,25200
2018-12-26,3.870000,4.100000,3.800000,4.100000,3.952313,84700
2018-12-27,4.040000,4.120000,3.800000,4.090000,3.942673,63900
2018-12-28,4.110000,4.200000,4.010000,4.020000,3.875195,11800
2018-12-31,4.020000,4.170000,3.950000,4.060000,3.913754,23900
2019-01-02,4.070000,4.470000,4.070000,4.290000,4.135469,61400
2019-01-03,4.150000,4.330000,4.100000,4.130000,3.981233,32400
2019-01-04,4.130000,4.450000,4.130000,4.400000,4.241506,30400
2019-01-07,4.400000,4.620000,4.280000,4.610000,4.443942,14800
2019-01-08,4.620000,4.620000,4.470000,4.480000,4.318625,36400
2019-01-09,4.580000,4.650000,4.520000,4.650000,4.482502,21100
2019-01-10,4.650000,4.650000,4.520000,4.570000,4.405383,37100
2019-01-11,4.520000,4.620000,4.510000,4.510000,4.347544,50000
2019-01-14,4.570000,4.570000,4.510000,4.560000,4.395743,14700
2019-01-15,4.540000,4.650000,4.520000,4.650000,4.482502,8300
2019-01-16,4.640000,4.810000,4.630000,4.810000,4.636738,41000
2019-01-17,4.780000,4.840000,4.660000,4.740000,4.569259,27100
2019-01-18,4.790000,4.830000,4.580000,4.640000,4.472861,71300
2019-01-22,4.620000,4.660000,4.460000,4.660000,4.492141,36000
2019-01-23,4.670000,4.670000,4.460000,4.560000,4.395743,42400
2019-01-24,4.560000,4.570000,4.440000,4.450000,4.289705,45300
2019-01-25,4.500000,4.630000,4.410000,4.630000,4.463222,49900
2019-01-28,4.620000,4.700000,4.440000,4.700000,4.530700,15100
2019-01-29,4.720000,4.720000,4.410000,4.580000,4.415023,28800
2019-01-30,4.590000,4.670000,4.460000,4.530000,4.366824,19600
2019-01-31,4.600000,4.640000,4.540000,4.640000,4.472861,32000
2019-02-01,4.580000,4.670000,4.460000,4.670000,4.501781,21300
2019-02-04,4.640000,4.650000,4.500000,4.650000,4.482502,12000
2019-02-05,4.660000,4.750000,4.570000,4.750000,4.578898,88000
2019-02-06,4.850000,5.000000,4.850000,4.920000,4.742775,120400
2019-02-07,4.940000,4.950000,4.770000,4.900000,4.723496,36900
2019-02-08,4.910000,4.940000,4.760000,4.840000,4.665658,86900
2019-02-11,4.910000,4.950000,4.770000,4.870000,4.694577,34500
2019-02-12,4.900000,4.900000,4.690000,4.760000,4.588539,61100
2019-02-13,4.770000,4.870000,4.600000,4.600000,4.434302,113000
2019-02-14,4.590000,4.710000,4.590000,4.650000,4.482502,25300
2019-02-15,4.640000,4.730000,4.560000,4.630000,4.463222,71500
2019-02-19,4.640000,4.730000,4.590000,4.670000,4.501781,120200
2019-02-20,4.680000,4.710000,4.590000,4.610000,4.443942,66400
2019-02-21,4.620000,4.630000,4.570000,4.580000,4.415023,26700
2019-02-22,4.580000,4.740000,4.500000,4.660000,4.492141,66800
2019-02-25,4.760000,4.930000,4.760000,4.850000,4.675297,262100
2019-02-26,5.070000,5.100000,4.940000,4.980000,4.800614,407500
2019-02-27,5.030000,5.060000,4.850000,4.900000,4.723496,109000
2019-02-28,4.900000,4.900000,4.800000,4.830000,4.656017,59300
2019-03-01,4.830000,4.900000,4.820000,4.890000,4.713856,30600
2019-03-04,4.900000,4.900000,4.800000,4.850000,4.675297,71600
2019-03-05,4.890000,4.890000,4.600000,4.690000,4.521060,84500
2019-03-06,4.730000,4.730000,4.460000,4.550000,4.386104,86100
2019-03-07,4.550000,4.610000,4.360000,4.480000,4.318625,80100
2019-03-08,4.440000,4.530000,4.400000,4.480000,4.318625,120700
2019-03-11,4.530000,4.650000,4.520000,4.590000,4.424663,194100
2019-03-12,4.600000,4.830000,4.550000,4.740000,4.569259,181000
2019-03-13,4.740000,4.830000,4.620000,4.640000,4.472861,61900
2019-03-14,4.670000,4.700000,4.440000,4.470000,4.308985,129500
2019-03-15,4.460000,4.530000,4.320000,4.380000,4.222227,129200
2019-03-18,4.380000,4.460000,4.340000,4.390000,4.231867,122400
2019-03-19,4.390000,4.440000,4.370000,4.400000,4.241506,35900
2019-03-20,4.440000,4.440000,4.340000,4.350000,4.193307,99300
2019-03-21,4.330000,4.380000,4.200000,4.250000,4.096910,113600
2019-03-22,4.210000,4.230000,4.100000,4.130000,3.981233,59300
2019-03-25,4.110000,4.150000,3.950000,3.990000,3.846275,74000
2019-03-26,4.000000,4.120000,3.950000,4.060000,3.913754,101300
2019-03-27,4.100000,4.200000,3.980000,4.180000,4.029431,150100
2019-03-28,4.150000,4.270000,4.030000,4.060000,3.913754,40800
2019-03-29,4.070000,4.130000,4.060000,4.100000,3.952313,29600
2019-04-01,4.070000,4.220000,4.070000,4.180000,4.029431,51000
2019-04-02,4.240000,4.340000,4.180000,4.250000,4.096910,135800
2019-04-03,4.280000,4.320000,4.200000,4.230000,4.077631,272400
2019-04-04,4.270000,4.300000,4.250000,4.260000,4.106550,140300
2019-04-05,4.370000,4.370000,4.250000,4.310000,4.154748,103100
2019-04-08,4.360000,4.370000,4.250000,4.300000,4.145109,117300
2019-04-09,4.300000,4.320000,4.210000,4.290000,4.135469,68400
2019-04-10,4.270000,4.270000,4.150000,4.220000,4.067990,68000
2019-04-11,4.210000,4.290000,4.110000,4.230000,4.077631,63000
2019-04-12,4.150000,4.190000,4.030000,4.050000,3.904114,91600
2019-04-15,4.050000,4.070000,3.950000,3.950000,3.807716,81900
2019-04-16,3.930000,4.090000,3.910000,4.000000,3.855915,58600
2019-04-17,4.010000,4.050000,3.960000,4.050000,3.904114,49600
2019-04-18,4.020000,4.100000,4.000000,4.100000,3.952313,41700
2019-04-22,4.070000,4.170000,3.950000,3.980000,3.836635,45300
2019-04-23,4.000000,4.080000,3.950000,3.990000,3.846275,77200
2019-04-24,3.990000,4.050000,3.870000,3.870000,3.730598,137900
2019-04-25,3.850000,3.950000,3.830000,3.920000,3.778797,84300
2019-04-26,3.950000,4.010000,3.880000,3.910000,3.769157,93800
2019-04-29,3.910000,3.940000,3.860000,3.880000,3.740238,75400
2019-04-30,3.910000,3.960000,3.640000,3.730000,3.595641,237600
2019-05-01,3.730000,3.850000,3.730000,3.850000,3.711318,46600
2019-05-02,3.850000,3.860000,3.680000,3.680000,3.547442,76300
2019-05-03,3.720000,3.790000,3.680000,3.690000,3.557081,66900
2019-05-06,3.690000,3.790000,3.680000,3.720000,3.586001,111700
2019-05-07,3.680000,3.820000,3.640000,3.730000,3.595641,122000
2019-05-08,3.690000,3.720000,3.660000,3.670000,3.537802,149800
2019-05-09,3.600000,3.620000,3.510000,3.540000,3.412485,94600
2019-05-10,3.570000,3.660000,3.440000,3.620000,3.489603,98300
2019-05-13,3.540000,3.540000,3.410000,3.420000,3.296808,68900
2019-05-14,3.420000,3.550000,3.110000,3.260000,3.142571,233100
2019-05-15,3.210000,3.340000,3.210000,3.300000,3.181130,52200
2019-05-16,3.300000,3.310000,2.980000,3.110000,2.997974,401500
2019-05-17,3.120000,3.180000,3.070000,3.160000,3.046173,231400
2019-05-20,3.150000,3.180000,3.030000,3.050000,2.940135,184300
2019-05-21,3.040000,3.350000,2.880000,3.250000,3.132931,731500
